po_id,vendor_id,vendor_name,service_items,amount_cny,status,po_date,evidence_ids
PO-2026-0001,V002,中枢机房设备有限公司,服务器,39103,已验收,2026-08-18,
PO-2026-0002,V001,蓝湖终端服务有限公司,员工笔记本,37560,已支付,2026-07-14,
PO-2026-0003,V008,棱镜实验硬件有限公司,测试手机、边缘盒子和联调样机,71848,completed,2026-08-09,EV-008
PO-2026-0004,V003,安行安全咨询有限公司,漏洞扫描,88101,cancelled,2026-05-23,
PO-2026-0005,V001,蓝湖终端服务有限公司,员工笔记本 12 台、扩展坞和终端资产登记,59731,completed,2026-04-22,EV-001
PO-2026-0006,V003,安行安全咨询有限公司,漏洞扫描,38292,completed,2026-02-19,
PO-2026-0007,V014,青植空间服务有限公司,办公绿植,38371,已完成,2026-06-13,
PO-2026-0008,V011,模型边界咨询有限公司,模型上线风险梳理和使用边界工作坊,77041,closed,2026-09-14,EV-011
PO-2026-0009,V013,知简内容服务有限公司,知识库文章整理和帮助中心文案更新,80503,已支付,2026-07-04,EV-013
PO-2026-0010,V004,数澜治理顾问有限公司,数据目录,88708,作废,2026-06-24,
PO-2026-0011,V013,知简内容服务有限公司,知识库文章整理,39182,closed,2026-05-12,
PO-2026-0012,V006,会桥活动服务有限公司,集中培训场地、讲师差旅和住宿协调,92620,已支付,2026-06-07,EV-020
PO-2026-0013,V003,安行安全咨询有限公司,外部暴露面检查、攻击路径复盘和整改复测,63193,accepted,2026-06-12,EV-003
PO-2026-0014,V010,印迹办公补给有限公司,打印耗材、工牌和员工笔记本采购,75310,accepted,2026-04-29,EV-010
PO-2026-0015,V010,印迹办公补给有限公司,打印耗材,62350,审批中,2026-04-15,
PO-2026-0016,V001,蓝湖终端服务有限公司,员工笔记本,39914,已支付,2026-07-17,
PO-2026-0017,V012,协维 IT 支持有限公司,IT 服务台外包、入职设备配置和现场支持,78772,已完成,2026-05-30,EV-012
PO-2026-0018,V006,会桥活动服务有限公司,项目评审会务、住宿协调和现场接驳,68386,已支付,2026-05-10,EV-006
PO-2026-0019,V002,中枢机房设备有限公司,服务器,87494,under_review,2026-04-22,
PO-2026-0020,V006,会桥活动服务有限公司,培训会务,35859,closed,2026-05-22,
PO-2026-0021,V005,云席软件订阅有限公司,研发观测台席位续展和接口额度包,66655,已完成,2026-04-19,EV-005
PO-2026-0022,V005,云席软件订阅有限公司,SaaS 账号订阅,89315,草稿,2026-07-10,
PO-2026-0023,V007,桥影创意传播有限公司,品牌活动物料设计和短视频脚本,94351,已验收,2026-03-15,EV-021
PO-2026-0024,V009,票流财务系统有限公司,报销流程配置,91743,待补件,2026-03-14,
PO-2026-0025,V011,模型边界咨询有限公司,AI 治理制度评审和合规流程辅导,63275,closed,2026-10-22,EV-025
PO-2026-0026,V004,数澜治理顾问有限公司,数据目录梳理、指标口径统一和数据质量规则配置,64924,closed,2026-03-27,EV-004
PO-2026-0027,V001,蓝湖终端服务有限公司,显示器、办公终端安装和资产登记,83965,completed,2026-02-25,EV-015
PO-2026-0028,V008,棱镜实验硬件有限公司,实验终端、边缘盒子和机架小型部件,58082,completed,2026-10-13,EV-022
PO-2026-0029,V004,数澜治理顾问有限公司,主数据清理、数据血缘配置和指标口径复核,89158,closed,2026-09-09,EV-018
PO-2026-0030,V005,云席软件订阅有限公司,SaaS 账号订阅、团队知识库访问名额和接口额度包,90889,已完成,2026-07-28,EV-019
PO-2026-0031,V011,模型边界咨询有限公司,AI 治理制度评审,40804,paid,2026-03-10,
PO-2026-0032,V010,印迹办公补给有限公司,打印耗材,41615,completed,2026-02-09,
PO-2026-0033,V009,票流财务系统有限公司,报销流程配置、发票工作流和付款审批表单,73579,paid,2026-06-24,EV-009
PO-2026-0034,V014,青植空间服务有限公司,办公绿植、茶水间维护和空气净化设备巡检,82234,已验收,2026-06-18,EV-014
PO-2026-0035,V008,棱镜实验硬件有限公司,测试手机,91136,作废,2026-02-13,
PO-2026-0036,V007,桥影创意传播有限公司,活动页面设计、传播海报和广告投放素材,70117,已验收,2026-07-16,EV-007
PO-2026-0037,V001,蓝湖终端服务有限公司,员工笔记本,86887,draft,2026-03-21,
PO-2026-0038,V004,数澜治理顾问有限公司,数据目录,37481,paid,2026-03-20,
PO-2026-0039,V002,中枢机房设备有限公司,机架服务器 2 台、交换机和机房布线,61462,paid,2026-05-18,
PO-2026-0040,V005,云席软件订阅有限公司,SaaS 账号订阅,36670,accepted,2026-04-21,
PO-2026-0041,V006,会桥活动服务有限公司,培训会务,89922,评审中,2026-08-11,
PO-2026-0042,V002,中枢机房设备有限公司,服务器上架、网络交换机和员工技术培训,85696,paid,2026-08-21,EV-016
PO-2026-0043,V007,桥影创意传播有限公司,品牌物料设计,35048,已完成,2026-06-23,
PO-2026-0044,V008,棱镜实验硬件有限公司,测试手机,34237,已支付,2026-07-24,
PO-2026-0045,V007,桥影创意传播有限公司,品牌物料设计,90529,取消,2026-09-12,
PO-2026-0046,V012,协维 IT 支持有限公司,IT 服务台,39993,accepted,2026-04-11,
PO-2026-0047,V003,安行安全咨询有限公司,漏洞扫描、安全基线核验和整改复测,87427,accepted,2026-05-23,EV-017
PO-2026-0048,V009,票流财务系统有限公司,发票工作流和财务系统字段调整,59813,paid,2026-09-20,EV-023
PO-2026-0049,V009,票流财务系统有限公司,报销流程配置,42426,已验收,2026-08-08,
PO-2026-0050,V010,印迹办公补给有限公司,打印耗材、会议室白板和文具补给,61544,accepted,2026-04-05,EV-024
